salesman_id,country_id,product_id,date,Amount,Boxes Shipped
00020,C-003,0000007,2022-06-02,4438,227
00020,C-003,0000010,2022-06-28,1603,48
00012,C-003,0000011,2022-05-16,273,174
00021,C-006,0000020,2022-05-26,3073,302
00011,C-002,0000017,2022-07-06,6090,149
00005,C-002,0000005,2022-05-27,10255,11
00019,C-003,0000021,2022-04-14,2030,11
00002,C-003,0000011,2022-08-10,19453,14
00022,C-002,0000007,2022-07-04,9275,411
00005,C-002,0000011,2022-07-08,6181,56
00004,C-005,0000003,2022-07-22,9037,102
00003,C-005,0000019,2022-03-02,12313,103
00003,C-001,0000017,2022-01-10,5642,9
00001,C-004,0000015,2022-03-11,2800,241
00020,C-004,0000003,2022-06-20,959,265
00002,C-001,0000011,2022-08-26,2002,214
00014,C-006,0000012,2022-07-13,609,32
00022,C-005,0000013,2022-02-11,1274,244
00012,C-005,0000008,2022-01-27,7595,181
00002,C-001,0000005,2022-01-31,4725,137
00022,C-005,0000015,2022-08-18,9681,24
00020,C-005,0000018,2022-06-30,14504,21
00024,C-003,0000014,2022-08-23,280,311
00007,C-004,0000001,2022-08-01,63,181
00014,C-004,0000006,2022-05-25,8001,10
00014,C-006,0000011,2022-01-10,4032,82
00018,C-003,0000022,2022-02-07,5859,108
00011,C-005,0000008,2022-05-12,11095,401
00023,C-003,0000013,2022-03-07,7182,408
00018,C-003,0000002,2022-04-05,6881,420
00020,C-006,0000021,2022-01-03,7154,348
00018,C-001,0000009,2022-03-24,6188,270
00023,C-002,0000018,2022-07-07,4221,9
00002,C-005,0000006,2022-07-26,630,264
00019,C-003,0000011,2022-07-07,1743,111
00011,C-006,0000007,2022-07-15,2919,65
00014,C-004,0000008,2022-04-01,49,97
00013,C-003,0000009,2022-06-20,1827,6
00021,C-001,0000014,2022-06-29,13006,482
00012,C-005,0000007,2022-06-15,1064,106
00016,C-005,0000006,2022-04-08,11571,180
00018,C-003,0000018,2022-03-14,5740,31
00020,C-005,0000014,2022-07-15,1456,359
00021,C-002,0000009,2022-04-19,5334,80
00012,C-005,0000005,2022-03-28,4151,296
00007,C-006,0000013,2022-03-04,8106,101
00011,C-004,0000022,2022-08-02,126,40
00016,C-001,0000013,2022-08-25,4697,42
00012,C-005,0000017,2022-02-25,7798,167
00021,C-002,0000008,2022-06-07,9408,138
00004,C-002,0000013,2022-04-12,1939,520
00025,C-002,0000013,2022-07-06,10906,94
00021,C-001,0000004,2022-01-19,5929,175
00023,C-003,0000014,2022-01-05,5579,92
00023,C-006,0000022,2022-01-24,10927,141
00019,C-003,0000010,2022-04-06,623,283
00006,C-003,0000014,2022-06-15,6013,21
00003,C-006,0000020,2022-01-28,1505,47
00021,C-002,0000021,2022-03-16,476,125
00008,C-003,0000010,2022-02-21,11550,396
00021,C-005,0000016,2022-02-16,17318,87
00001,C-006,0000013,2022-01-13,1848,27
00021,C-003,0000009,2022-03-23,7273,547
00015,C-006,0000013,2022-06-16,854,118
00005,C-002,0000018,2022-04-14,6832,46
00021,C-001,0000009,2022-01-25,4606,57
00004,C-002,0000017,2022-03-11,4466,22
00024,C-001,0000017,2022-07-28,16114,96
00012,C-004,0000006,2022-03-09,1561,44
00016,C-003,0000008,2022-06-28,8897,188
00012,C-003,0000012,2022-07-28,2464,387
00021,C-006,0000005,2022-08-15,4830,50
00017,C-003,0000016,2022-01-12,2765,264
00013,C-004,0000015,2022-03-24,7126,7
00002,C-001,0000012,2022-07-25,4263,90
00005,C-006,0000005,2022-08-01,3605,403
00002,C-002,0000011,2022-05-16,19929,174
00014,C-002,0000004,2022-08-10,5103,140
00004,C-002,0000009,2022-01-05,2541,27
00025,C-001,0000004,2022-07-11,5663,110
00019,C-005,0000006,2022-04-25,392,30
00003,C-004,0000014,2022-04-04,10976,121
00009,C-005,0000018,2022-04-12,9282,101
00019,C-004,0000002,2022-08-02,1827,117
00003,C-004,0000016,2022-06-28,8267,272
00025,C-003,0000009,2022-07-05,4116,128
00008,C-004,0000019,2022-06-07,2093,45
00007,C-004,0000004,2022-01-18,1015,27
00007,C-003,0000020,2022-01-04,12516,212
00018,C-003,0000005,2022-01-31,2758,18
00021,C-002,0000017,2022-03-14,3297,149
00022,C-003,0000022,2022-04-29,6048,477
00005,C-002,0000004,2022-02-07,10101,108
00017,C-001,0000011,2022-03-31,2282,178
00012,C-002,0000021,2022-03-16,4361,81
00011,C-001,0000009,2022-01-25,7798,196
00002,C-002,0000020,2022-06-20,3052,447
00003,C-001,0000006,2022-03-29,8029,175
00015,C-003,0000008,2022-07-12,854,136
00001,C-006,0000004,2022-07-11,5460,138
00011,C-006,0000004,2022-01-19,3017,184
00020,C-005,0000002,2022-04-05,8911,82
00001,C-006,0000012,2022-02-21,7203,12
00008,C-004,0000021,2022-05-20,13083,14
00010,C-003,0000012,2022-07-29,2779,104
00009,C-005,0000014,2022-01-28,9058,46
00012,C-001,0000021,2022-07-19,3549,112
00010,C-004,0000016,2022-04-13,9436,11
00014,C-002,0000003,2022-02-11,10283,21
00014,C-004,0000012,2022-03-02,5446,116
00025,C-003,0000015,2022-03-02,1043,202
00002,C-005,0000005,2022-07-28,12586,6
00021,C-002,0000006,2022-01-07,1687,520
00007,C-001,0000015,2022-04-12,5299,167
00002,C-006,0000017,2022-06-27,3213,72
00001,C-003,0000007,2022-01-14,5194,418
00011,C-001,0000020,2022-02-07,4753,389
00001,C-003,0000008,2022-03-23,13706,26
00012,C-002,0000003,2022-01-10,6489,146
00005,C-001,0000019,2022-03-17,9324,41
00003,C-005,0000013,2022-01-21,10829,54
00009,C-003,0000015,2022-07-04,8113,370
00017,C-006,0000003,2022-07-04,3269,176
00024,C-005,0000016,2022-08-10,273,210
00018,C-003,0000007,2022-04-01,7287,12
00003,C-002,0000018,2022-02-22,2583,159
00022,C-001,0000015,2022-01-03,9982,187
00011,C-002,0000010,2022-05-31,4795,233
00024,C-001,0000005,2022-01-03,9310,282
00016,C-004,0000021,2022-01-27,497,475
00009,C-001,0000007,2022-01-28,581,65
00015,C-003,0000011,2022-06-28,3472,311
00016,C-001,0000019,2022-03-02,4333,43
00019,C-003,0000006,2022-05-27,3325,26
00018,C-005,0000017,2022-06-30,11718,84
00009,C-006,0000003,2022-06-07,2100,78
00017,C-005,0000022,2022-05-12,4018,100
00009,C-004,0000018,2022-07-29,6468,66
00018,C-001,0000015,2022-08-03,7238,265
00009,C-002,0000020,2022-08-18,6454,141
00002,C-004,0000004,2022-06-14,3115,42
00013,C-001,0000015,2022-06-30,6475,76
00022,C-004,0000001,2022-06-13,1162,190
00025,C-001,0000008,2022-04-27,14238,54
00004,C-003,0000015,2022-07-27,3472,32
00010,C-006,0000002,2022-04-20,1428,424
00008,C-002,0000013,2022-01-04,8064,134
00025,C-003,0000001,2022-02-21,9660,92
00011,C-003,0000015,2022-01-05,7357,48
00013,C-002,0000010,2022-07-15,6055,46
00007,C-003,0000019,2022-05-25,5124,62
00011,C-006,0000009,2022-04-20,3479,358
00003,C-005,0000005,2022-06-02,784,249
00012,C-001,0000004,2022-05-13,18991,88
00013,C-004,0000020,2022-08-03,1372,144
00013,C-003,0000012,2022-05-25,735,390
00002,C-001,0000018,2022-03-16,6538,79
00004,C-003,0000008,2022-07-04,3199,122
00001,C-002,0000007,2022-07-05,3472,135
00023,C-005,0000006,2022-03-15,4571,430
00009,C-001,0000018,2022-08-22,5481,69
00025,C-003,0000022,2022-01-12,3136,125
00012,C-001,0000020,2022-06-10,252,154
00017,C-003,0000003,2022-03-25,5460,286
00008,C-002,0000017,2022-07-27,3395,99
00016,C-001,0000021,2022-04-15,14938,433
00014,C-002,0000008,2022-06-27,4053,19
00001,C-001,0000022,2022-04-14,5565,258
00016,C-003,0000016,2022-03-15,7161,92
00023,C-005,0000009,2022-03-18,8883,200
00007,C-002,0000009,2022-04-29,1351,61
00010,C-004,0000015,2022-02-25,3171,246
00016,C-005,0000012,2022-03-02,854,56
00002,C-003,0000012,2022-06-20,7910,87
00013,C-006,0000015,2022-07-15,9275,173
00024,C-003,0000007,2022-05-12,3108,252
00010,C-004,0000011,2022-07-01,5075,256
00016,C-005,0000002,2022-08-08,378,54
00023,C-003,0000007,2022-07-25,7350,6
00019,C-001,0000010,2022-05-18,3388,55
00022,C-002,0000003,2022-07-15,11837,277
00015,C-002,0000022,2022-07-05,2282,44
00010,C-005,0000016,2022-07-04,5425,96
00024,C-001,0000022,2022-06-20,1267,216
00006,C-003,0000017,2022-01-25,3752,424
00017,C-004,0000013,2022-07-01,7728,37
00003,C-005,0000007,2022-04-13,2296,59
00013,C-001,0000004,2022-05-04,4403,76
00013,C-003,0000020,2022-08-04,3192,109
00013,C-002,0000022,2022-06-01,448,146
00001,C-001,0000019,2022-04-22,4270,185
00017,C-005,0000007,2022-08-03,70,27
00025,C-005,0000008,2022-06-10,1743,69
00006,C-001,0000016,2022-06-27,6762,46
00012,C-003,0000004,2022-01-03,3745,170
00012,C-002,0000006,2022-07-11,2639,179
00025,C-004,0000012,2022-08-17,4389,126
00008,C-005,0000014,2022-01-18,2604,65
00025,C-002,0000011,2022-03-08,16569,99
00010,C-003,0000008,2022-03-07,14658,275
00016,C-002,0000022,2022-05-09,6454,157
00009,C-004,0000002,2022-05-23,2100,157
00023,C-001,0000021,2022-04-15,161,145
00003,C-003,0000010,2022-07-27,2807,139
00012,C-006,0000019,2022-08-22,2639,406
00025,C-005,0000022,2022-05-11,4571,122
00023,C-002,0000011,2022-01-26,4781,38
00009,C-005,0000007,2022-04-14,13034,117
00018,C-004,0000001,2022-04-05,6454,417
00012,C-004,0000004,2022-06-14,8484,57
00007,C-006,0000017,2022-04-13,4781,125
00013,C-003,0000015,2022-06-27,2240,166
00024,C-003,0000009,2022-01-26,6979,3
00009,C-001,0000015,2022-07-05,1652,72
00013,C-006,0000020,2022-01-11,13447,95
00021,C-005,0000015,2022-03-07,9422,22
00017,C-006,0000007,2022-03-04,8687,100
00011,C-006,0000011,2022-07-15,2415,312
00017,C-001,0000003,2022-05-11,6272,86
00011,C-005,0000012,2022-01-27,4389,7
00011,C-002,0000008,2022-06-27,3122,149
00025,C-002,0000004,2022-08-03,8043,18
00019,C-004,0000001,2022-08-19,11662,242
00019,C-003,0000014,2022-06-15,392,102
00018,C-001,0000003,2022-02-07,8925,158
00011,C-003,0000017,2022-07-08,7294,128
00018,C-002,0000012,2022-04-21,1526,96
00025,C-001,0000001,2022-04-08,2688,209
00016,C-003,0000007,2022-08-19,14889,52
00004,C-002,0000014,2022-05-04,2912,55
00010,C-005,0000002,2022-05-11,2632,108
00010,C-005,0000009,2022-03-22,6328,51
00018,C-006,0000013,2022-08-10,2527,216
00018,C-005,0000014,2022-05-04,1414,318
00021,C-005,0000005,2022-08-18,7714,238
00024,C-006,0000018,2022-08-03,4347,238
00012,C-004,0000012,2022-01-14,7490,315
00023,C-003,0000019,2022-04-08,2058,72
00021,C-001,0000008,2022-08-01,3640,3
00018,C-006,0000009,2022-03-15,455,45
00011,C-002,0000001,2022-07-15,10990,184
00009,C-004,0000017,2022-01-13,5558,127
00010,C-003,0000002,2022-08-26,2541,53
00025,C-006,0000009,2022-01-10,1876,172
00003,C-003,0000015,2022-05-11,5523,87
00013,C-004,0000002,2022-08-30,11200,22
00017,C-005,0000021,2022-07-21,5593,122
00010,C-003,0000017,2022-08-01,7882,125
00007,C-006,0000002,2022-02-17,10241,259
00007,C-003,0000010,2022-07-27,6832,156
00024,C-005,0000008,2022-02-23,1379,107
00008,C-003,0000007,2022-03-22,3010,40
00018,C-002,0000005,2022-06-23,6888,311
00015,C-001,0000015,2022-02-01,1540,73
00021,C-003,0000006,2022-03-02,6916,288
00003,C-001,0000014,2022-04-06,1232,86
00006,C-003,0000018,2022-03-17,602,72
00015,C-001,0000014,2022-06-24,10927,136
00009,C-006,0000007,2022-07-19,10185,303
00015,C-005,0000013,2022-07-11,1603,264
00007,C-002,0000017,2022-01-13,2170,218
00005,C-004,0000004,2022-07-07,8673,60
00004,C-002,0000002,2022-05-25,4760,418
00012,C-002,0000014,2022-04-13,4753,151
00020,C-004,0000007,2022-03-02,3374,202
00006,C-006,0000018,2022-06-23,2058,126
00021,C-005,0000010,2022-07-26,6454,160
00002,C-006,0000015,2022-03-22,420,3
00008,C-005,0000020,2022-06-09,2863,58
00002,C-003,0000021,2022-05-17,5936,59
00025,C-004,0000003,2022-03-04,889,273
00021,C-006,0000012,2022-07-07,16016,28
00018,C-006,0000019,2022-01-13,10479,118
00015,C-003,0000017,2022-07-13,2912,75
00023,C-003,0000002,2022-06-16,1575,329
00003,C-001,0000007,2022-07-18,8197,69
00025,C-001,0000016,2022-05-30,4221,395
00003,C-001,0000022,2022-06-21,840,81
00001,C-003,0000003,2022-06-24,5691,38
00012,C-002,0000009,2022-01-13,3472,96
00015,C-006,0000014,2022-04-04,4193,195
00017,C-001,0000004,2022-06-08,9016,554
00011,C-006,0000013,2022-08-02,6328,47
00021,C-005,0000011,2022-07-21,9870,152
00015,C-002,0000013,2022-06-20,161,134
00014,C-002,0000006,2022-06-22,2576,112
00022,C-003,0000021,2022-05-02,3178,16
00015,C-003,0000005,2022-01-07,4676,84
00010,C-001,0000007,2022-02-21,5502,99
00025,C-006,0000020,2022-03-21,7462,371
00002,C-001,0000010,2022-04-04,5803,136
00006,C-006,0000014,2022-03-24,13888,203
00006,C-004,0000013,2022-06-28,6867,183
00006,C-003,0000010,2022-01-14,2317,195
00011,C-004,0000014,2022-02-07,1218,135
00018,C-004,0000010,2022-01-11,4109,197
00001,C-002,0000005,2022-02-25,1953,242
00024,C-003,0000001,2022-08-01,6790,25
00014,C-003,0000001,2022-05-05,6797,252
00023,C-004,0000018,2022-05-18,9226,415
00024,C-004,0000019,2022-01-04,5733,348
00014,C-004,0000007,2022-05-09,4312,211
00008,C-002,0000004,2022-05-06,1638,81
00016,C-001,0000015,2022-01-13,10815,145
00014,C-003,0000017,2022-06-24,4466,74
00002,C-005,0000021,2022-02-14,987,21
00022,C-003,0000005,2022-01-18,4669,101
00017,C-002,0000012,2022-05-02,2905,91
00025,C-003,0000004,2022-05-16,7490,54
00010,C-005,0000017,2022-01-28,6986,368
00017,C-006,0000005,2022-06-24,1288,409
00005,C-001,0000006,2022-07-18,2345,104
00006,C-001,0000009,2022-04-13,3619,164
00024,C-005,0000021,2022-04-15,16982,76
00004,C-002,0000003,2022-01-04,8092,178
00016,C-003,0000009,2022-07-04,6993,31
00013,C-005,0000004,2022-03-24,2317,352
00022,C-003,0000016,2022-03-17,637,169
00005,C-003,0000017,2022-02-15,6034,223
00004,C-005,0000008,2022-06-29,980,146
00003,C-005,0000014,2022-05-24,2821,112
00010,C-001,0000012,2022-01-10,3563,284
00015,C-005,0000018,2022-03-15,2996,139
00012,C-006,0000012,2022-02-08,2436,309
00007,C-002,0000021,2022-02-25,1540,100
00006,C-005,0000009,2022-05-03,6916,42
00014,C-005,0000014,2022-06-14,5509,24
00006,C-002,0000007,2022-08-09,12992,83
00019,C-004,0000016,2022-07-11,3724,234
00017,C-001,0000016,2022-01-14,7133,118
00002,C-006,0000016,2022-02-24,8617,46
00019,C-004,0000017,2022-03-15,9198,144
00005,C-004,0000020,2022-04-25,11823,47
00018,C-003,0000011,2022-05-10,5775,41
00012,C-003,0000013,2022-06-23,13125,275
00013,C-006,0000004,2022-02-28,14287,370
00007,C-005,0000011,2022-05-25,16233,138
00014,C-004,0000020,2022-02-22,5313,215
00002,C-001,0000002,2022-07-11,3577,134
00012,C-006,0000013,2022-01-03,3528,336
00008,C-004,0000022,2022-08-24,679,280
00013,C-005,0000007,2022-07-28,2450,352
00007,C-005,0000001,2022-05-25,10577,150
00011,C-004,0000009,2022-05-06,2597,177
00009,C-002,0000010,2022-01-28,2219,142
00012,C-001,0000008,2022-06-06,11319,12
00007,C-004,0000020,2022-07-12,5978,24
00025,C-006,0000013,2022-08-05,5327,183
00007,C-005,0000008,2022-01-28,6020,147
00017,C-002,0000013,2022-08-31,5614,137
00010,C-005,0000007,2022-04-19,1736,13
00010,C-001,0000001,2022-06-29,6384,2
00013,C-002,0000019,2022-02-24,3577,261
00023,C-001,0000004,2022-03-04,14539,84
00003,C-002,0000009,2022-06-21,3493,68
00008,C-003,0000011,2022-01-26,994,105
00005,C-004,0000015,2022-06-10,4361,40
00020,C-001,0000010,2022-05-23,1554,65
00021,C-002,0000012,2022-04-15,966,107
00011,C-004,0000021,2022-01-31,5334,227
00020,C-004,0000011,2022-03-04,4935,39
00009,C-004,0000006,2022-04-19,10024,84
00013,C-001,0000017,2022-05-16,2506,100
00005,C-003,0000018,2022-02-17,1043,120
00018,C-005,0000018,2022-01-18,6524,257
00014,C-006,0000008,2022-02-09,8148,85
00010,C-006,0000008,2022-03-23,3577,178
00023,C-004,0000021,2022-02-01,3374,151
00010,C-002,0000010,2022-03-07,3948,142
00025,C-001,0000015,2022-01-03,3269,226
00025,C-005,0000015,2022-02-11,5271,341
00018,C-004,0000008,2022-03-16,4571,140
00024,C-002,0000015,2022-08-15,12327,330
00003,C-002,0000016,2022-05-12,4935,73
00002,C-002,0000013,2022-04-11,6167,4
00004,C-004,0000001,2022-06-30,18340,285
00024,C-004,0000015,2022-06-15,7014,60
00008,C-006,0000021,2022-08-01,7119,101
00017,C-005,0000012,2022-06-15,15491,58
00007,C-002,0000006,2022-06-16,5747,45
00005,C-004,0000018,2022-05-13,4550,281
00018,C-005,0000010,2022-05-10,2191,138
00005,C-002,0000009,2022-08-25,5663,322
00025,C-004,0000011,2022-07-15,7623,85
00003,C-001,0000020,2022-05-16,9023,409
00004,C-003,0000007,2022-06-14,3402,182
00013,C-003,0000004,2022-01-25,10507,467
00025,C-005,0000011,2022-07-28,7721,14
00007,C-006,0000001,2022-01-28,5033,178
00017,C-001,0000008,2022-06-29,1960,191
00011,C-003,0000022,2022-06-24,238,317
00006,C-006,0000001,2022-07-01,7756,410
00014,C-005,0000003,2022-02-25,1736,137
00015,C-006,0000004,2022-08-01,2660,12
00005,C-003,0000012,2022-06-21,7672,254
00022,C-004,0000013,2022-01-25,11564,24
00003,C-001,0000012,2022-05-17,1365,232
00020,C-003,0000002,2022-08-23,4186,233
00022,C-003,0000004,2022-03-03,7406,118
00014,C-002,0000021,2022-05-30,8911,543
00011,C-005,0000010,2022-06-29,112,223
00020,C-006,0000011,2022-01-04,8204,204
00001,C-003,0000010,2022-01-14,2611,65
00011,C-005,0000001,2022-02-15,15652,53
00015,C-004,0000013,2022-01-10,4074,469
00023,C-005,0000015,2022-05-04,12250,213
00020,C-005,0000013,2022-05-23,2366,5
00009,C-004,0000014,2022-04-26,1687,147
00005,C-006,0000011,2022-07-05,1232,74
00023,C-001,0000011,2022-07-21,6965,163
00024,C-005,0000001,2022-02-21,5292,248
00021,C-005,0000008,2022-02-03,1379,138
00003,C-003,0000021,2022-07-08,8001,151
00010,C-002,0000007,2022-05-31,588,139
00002,C-004,0000001,2022-06-27,4046,103
00002,C-002,0000007,2022-05-13,5103,129
00002,C-005,0000016,2022-05-31,2317,102
00019,C-005,0000008,2022-02-28,7042,37
00009,C-004,0000009,2022-03-28,6713,31
00003,C-005,0000006,2022-01-14,1848,227
00009,C-004,0000001,2022-02-21,6440,145
00018,C-006,0000002,2022-08-01,10885,90
00013,C-004,0000004,2022-05-19,2387,59
00016,C-005,0000015,2022-07-13,2030,60
00020,C-003,0000003,2022-04-20,6678,148
00018,C-002,0000002,2022-06-30,4515,22
00015,C-001,0000007,2022-03-08,3374,142
00006,C-005,0000014,2022-03-09,5852,93
00005,C-006,0000018,2022-06-16,1750,208
00003,C-001,0000010,2022-06-30,5782,42
00021,C-002,0000001,2022-07-28,2870,120
00011,C-006,0000003,2022-08-12,3094,159
00009,C-001,0000001,2022-07-07,3724,316
00009,C-005,0000002,2022-08-25,12761,47
00016,C-006,0000009,2022-01-17,3696,233
00004,C-003,0000022,2022-03-04,5222,384
00012,C-004,0000014,2022-08-25,8939,4
00025,C-001,0000003,2022-04-15,2156,260
00017,C-005,0000011,2022-03-11,2380,22
00022,C-005,0000018,2022-05-20,3339,18
00007,C-004,0000016,2022-06-14,14980,42
00001,C-004,0000006,2022-04-14,1512,73
00001,C-005,0000004,2022-07-07,6657,154
00023,C-002,0000001,2022-08-24,3836,71
00001,C-002,0000009,2022-02-24,8771,127
00011,C-006,0000018,2022-05-09,651,224
00017,C-003,0000022,2022-02-08,6706,223
00014,C-001,0000022,2022-03-24,1421,284
00008,C-005,0000010,2022-06-20,8526,73
00010,C-006,0000016,2022-03-07,1435,112
00017,C-003,0000014,2022-06-20,7434,85
00005,C-004,0000011,2022-02-17,15316,270
00023,C-001,0000005,2022-01-26,10479,45
00023,C-003,0000001,2022-05-02,2751,153
00015,C-006,0000005,2022-07-07,12586,7
00008,C-003,0000020,2022-08-22,2786,51
00011,C-003,0000006,2022-08-11,2303,67
00012,C-001,0000005,2022-01-13,8113,194
00006,C-003,0000007,2022-03-02,12271,116
00012,C-003,0000019,2022-07-27,11298,41
00021,C-004,0000010,2022-03-10,15855,111
00013,C-005,0000002,2022-08-23,12404,334
00014,C-005,0000009,2022-04-25,3990,155
00018,C-001,0000012,2022-03-07,10808,407
00019,C-001,0000011,2022-07-12,4858,52
00023,C-005,0000008,2022-05-16,7742,138
00006,C-002,0000004,2022-03-02,3752,70
00012,C-004,0000002,2022-05-30,1218,149
00012,C-001,0000016,2022-06-10,10983,179
00007,C-005,0000005,2022-07-25,6769,353
00013,C-004,0000001,2022-06-09,4361,97
00018,C-005,0000012,2022-05-12,777,60
00006,C-005,0000010,2022-05-09,3843,5
00007,C-006,0000016,2022-08-09,6930,182
00002,C-002,0000019,2022-04-13,5733,114
00020,C-005,0000021,2022-05-02,8393,46
00024,C-005,0000005,2022-08-09,3822,320
00022,C-003,0000018,2022-08-23,6342,178
00006,C-002,0000013,2022-05-13,6510,170
00011,C-005,0000016,2022-02-01,10171,67
00022,C-005,0000007,2022-06-23,5908,301
00023,C-001,0000019,2022-05-24,10164,134
00004,C-006,0000001,2022-04-01,1064,211
00022,C-006,0000022,2022-07-27,9716,151
00025,C-002,0000003,2022-01-27,22050,208
00004,C-002,0000019,2022-08-12,2541,134
00003,C-006,0000017,2022-02-01,9989,49
00008,C-002,0000006,2022-03-02,4739,204
00021,C-003,0000005,2022-06-30,3185,34
00024,C-003,0000013,2022-01-17,8225,91
00007,C-005,0000012,2022-07-07,14301,130
00010,C-004,0000001,2022-01-31,1316,107
00013,C-001,0000005,2022-08-10,3486,121
00013,C-005,0000003,2022-08-18,13930,339
00007,C-004,0000015,2022-06-15,5509,321
00012,C-005,0000020,2022-01-26,8470,9
00021,C-005,0000013,2022-04-29,77,69
00010,C-006,0000015,2022-03-03,3381,72
00017,C-003,0000017,2022-02-22,4102,392
00005,C-005,0000004,2022-03-04,3577,158
00018,C-002,0000004,2022-07-07,2975,9
00022,C-004,0000021,2022-06-17,4137,347
00004,C-006,0000021,2022-08-02,9541,114
00005,C-005,0000020,2022-08-12,8001,120
00023,C-004,0000003,2022-01-28,5152,333
00021,C-003,0000008,2022-04-29,11116,432
00012,C-003,0000016,2022-04-05,13076,236
00017,C-006,0000016,2022-01-18,10213,135
00001,C-001,0000020,2022-05-16,2485,97
00021,C-003,0000015,2022-08-24,8715,168
00015,C-002,0000002,2022-01-18,273,402
00017,C-005,0000009,2022-08-22,7623,10
00006,C-001,0000005,2022-03-07,7,84
00013,C-001,0000019,2022-03-04,3010,69
00024,C-006,0000016,2022-04-22,11550,111
00017,C-003,0000012,2022-06-09,4046,89
00004,C-006,0000014,2022-07-25,8904,199
00004,C-002,0000004,2022-08-03,11298,89
00008,C-003,0000016,2022-08-03,4396,131
00001,C-001,0000012,2022-05-03,12068,227
00016,C-006,0000006,2022-01-19,9772,301
00014,C-005,0000007,2022-02-11,10458,316
00002,C-002,0000017,2022-06-14,6426,390
00021,C-005,0000007,2022-03-23,6188,223
00023,C-006,0000002,2022-02-17,7504,101
00018,C-006,0000004,2022-03-17,1750,479
00010,C-003,0000013,2022-06-29,5439,287
00025,C-006,0000019,2022-08-24,15547,269
00003,C-006,0000013,2022-07-04,11956,277
00014,C-004,0000017,2022-03-28,2723,67
00015,C-002,0000004,2022-04-19,19327,135
00025,C-004,0000001,2022-01-18,9058,229
00002,C-004,0000014,2022-01-17,2996,88
00020,C-004,0000001,2022-02-15,8848,211
00020,C-001,0000012,2022-02-11,14336,293
00022,C-005,0000016,2022-03-21,16401,179
00006,C-004,0000017,2022-01-05,5173,129
00007,C-002,0000018,2022-05-30,6328,164
00001,C-005,0000005,2022-01-04,2534,219
00013,C-003,0000014,2022-04-22,1435,258
00003,C-006,0000012,2022-02-10,3052,116
00024,C-002,0000013,2022-08-12,910,204
00006,C-005,0000011,2022-08-10,2331,321
00021,C-003,0000018,2022-06-07,679,56
00001,C-002,0000020,2022-06-06,2086,74
00011,C-004,0000020,2022-04-05,5012,189
00019,C-005,0000007,2022-04-18,4501,131
00020,C-002,0000007,2022-01-31,13482,15
00023,C-005,0000020,2022-08-22,5621,140
